county,state,Metro,StateCodeFIPS,MunicipalCodeFIPS,SizeRank,mean_2010,mean_2011,mean_2012,mean_2013,mean_2014,mean_2015,mean_2016,mean_2017,mean_2018,mean_2019
livingston county,KY,Paducah,21,139,2096,133380.0,133380.0,133380.0,133380.0,129852.08333333333,131679.08333333334,143841.66666666666,129241.66666666667,137620.83333333334,155600.0
morgan county,UT,Ogden-Clearfield,49,29,2097,405694.5,405694.5,405694.5,405694.5,405694.5,405694.5,474991.6666666667,513947.0833333333,519966.6666666667,481950.0
hancock county,GA,Milledgeville,13,141,2098,209219.375,191512.91666666666,163608.29166666666,167906.25,165383.33333333334,163783.33333333334,182679.16666666666,188116.66666666666,188429.16666666666,179200.0
love county,OK,N/A,40,85,2099,182042.85714285713,182042.85714285713,182042.85714285713,182042.85714285713,182042.85714285713,182042.85714285713,182042.85714285713,182042.85714285713,165304.16666666666,142900.0
mitchell county,TX,N/A,48,335,2100,89930.0,89930.0,89930.0,89930.0,89930.0,89930.0,82958.33333333333,83034.08333333333,81656.25,78700.0
greene county,IA,N/A,19,73,2101,92642.85714285714,92642.85714285714,92642.85714285714,92642.85714285714,92642.85714285714,92642.85714285714,92642.85714285714,84258.33333333333,88020.83333333333,83975.0
forest county,WI,N/A,55,41,2102,165925.0,165925.0,165925.0,165925.0,152608.33333333334,163187.5,157034.375,145308.33333333334,134641.66666666666,135150.0
deer lodge county,MT,N/A,30,23,2103,171316.66666666666,171316.66666666666,171316.66666666666,169725.0,157850.0,170162.5,128804.16666666667,144900.0,162475.0,154925.0
carroll county,MO,N/A,29,33,2104,119900.0,119900.0,119900.0,119900.0,119900.0,119900.0,119900.0,119900.0,85462.5,79200.0
clarke county,IA,N/A,19,39,2105,113990.0,113990.0,113990.0,113990.0,113990.0,113990.0,113990.0,115578.70833333333,130279.16666666667,133450.0
richmond county,VA,N/A,51,159,2106,179900.0,179900.0,179900.0,178487.5,190733.33333333334,182320.83333333334,179058.33333333334,193197.58333333334,192256.25,196475.0
beaverhead county,MT,N/A,30,1,2107,215354.54545454544,215354.54545454544,215354.54545454544,215354.54545454544,215354.54545454544,227083.33333333334,231483.33333333334,254839.58333333334,274008.3333333333,279000.0
rosebud county,MT,N/A,30,87,2108,158258.33333333334,158258.33333333334,158258.33333333334,158258.33333333334,158258.33333333334,158258.33333333334,158258.33333333334,153238.16666666666,151729.16666666666,142225.0
stillwater county,MT,N/A,30,95,2109,371650.0,371650.0,371650.0,371650.0,371650.0,371650.0,371650.0,371650.0,371650.0,338750.0
clear creek county,CO,Denver-Aurora-Lakewood,8,19,2110,376350.0,376350.0,376350.0,376350.0,376350.0,376350.0,415220.8333333333,488641.6666666667,395693.5416666667,377000.0
mathews county,VA,Virginia Beach-Norfolk-Newport News,51,115,2111,341264.5833333333,305787.5,309879.1666666667,308662.4583333333,305329.1666666667,297445.7916666667,287628.9583333333,274650.0,288087.5,295425.0
dawson county,MT,N/A,30,21,2112,186710.0,186710.0,186710.0,186710.0,186710.0,186710.0,180262.5,177045.83333333334,163016.66666666666,148950.0
mclean county,ND,N/A,38,55,2113,172294.44444444444,172294.44444444444,172294.44444444444,172294.44444444444,172294.44444444444,172294.44444444444,172294.44444444444,172294.44444444444,182324.95833333334,168450.0
harrison county,MO,N/A,29,81,2114,63900.0,63900.0,63900.0,63900.0,63900.0,63900.0,63900.0,63900.0,76956.25,79900.0
sitka borough,AK,N/A,2,220,2115,420128.5714285714,420128.5714285714,420128.5714285714,392104.1666666667,409020.8333333333,426450.0,429820.8333333333,454437.5,444083.3333333333,480250.0
woods county,OK,N/A,40,151,2116,105414.28571428571,105414.28571428571,105414.28571428571,105414.28571428571,105414.28571428571,95158.33333333333,97982.91666666667,89583.33333333333,86275.0,88300.0
lafayette county,FL,N/A,12,67,2117,196636.36363636365,196636.36363636365,196636.36363636365,196636.36363636365,196636.36363636365,196636.36363636365,196636.36363636365,196636.36363636365,196636.36363636365,199125.0
graham county,NC,N/A,37,75,2118,263187.5,200837.5,183462.5,176864.45833333334,176591.66666666666,174537.5,182833.33333333334,197257.91666666666,241320.83333333334,256725.0
baraga county,MI,N/A,26,13,2119,128262.5,128262.5,128262.5,128262.5,128262.5,128262.5,128262.5,128262.5,128262.5,124900.0
clearwater county,ID,N/A,16,35,2120,166168.75,166168.75,166168.75,166168.75,166168.75,166168.75,166168.75,166168.75,182625.0,146700.0
davis county,IA,Ottumwa,19,51,2121,154495.45454545456,154495.45454545456,154495.45454545456,154495.45454545456,154495.45454545456,154495.45454545456,154495.45454545456,154495.45454545456,154495.45454545456,152500.0
